hin,hout,
212,92
107,86
87,220
136,710
224,1721
346,2050
593,1554
717,1620
956,1877
1242,2475
1515,2254
1473,1990
1272,2036
1452,2482
1568,2690
1174,1679
712,1413
604,1026
452,803
916,548
524,407
269,247
149,128
135,103
84,64
116,105
189,206
658,743
1753,1898
2117,1963
1601,1688
1664,1664
2042,1865
2558,2570
2461,2303
2108,1915
2072,2193
2508,2429
2867,2854
1864,1824
1395,1487
1039,1100
921,799
657,536
425,489
245,249
174,153
86,136
84,91
120,96
221,202
739,748
1994,1753
1964,2052
1760,1552
1709,1492
1872,1973
2528,2482
2378,2327
1969,1941
2371,2065
2584,2432
3007,2847
1989,1778
1610,1331
1163,1149
914,780
655,589
455,434
254,265
191,138
116,86
127,83
100,78
209,237
686,761
1889,1851
2174,1971
1702,1654
1618,1585
2094,1757
2616,2506
2445,2359
2152,1936
2189,2254
2344,2506
2759,2879
1742,1973
1415,1458
1072,1207
897,890
576,757
429,552
288,312
147,221
106,161
95,131
96,109
236,218
720,613
1994,1708
2042,2006
1806,1683
1698,1731
1967,2218
2597,2765
2314,2658
2060,2382
2335,2401
2646,2563
2917,2593
1970,1828
1548,1530
1263,1189
968,1015
762,881
553,695
362,613
245,349
214,369
155,219
133,156
243,128
636,280
1857,500
2116,773
1732,1028
1753,1224
2136,1443
2769,1630
2621,1674
2441,1691
2399,1706
2616,1719
2691,1356
1962,1366
1430,1691
1094,998
1145,929
915,830
649,656
449,509
362,426
307,334
232,207
159,121
134,85
262,176
449,248
769,393
948,664
1080,838
1384,986
1560,1382
1564,1496
1624,1618
1551,1514
1724,1483
1400,1620
1311,1405
1534,1177
959,998
985,704
809,570
601,409
443,238
359,142
330,86
198,67
117,89
84,204
179,767
257,1716
373,2039
577,1566
758,1656
904,2015
1159,2332
1452,2224
1394,2033
1372,2088
1430,2464
1503,2632
1228,1823
1078,1478
929,1120
672,882
530,573
371,423
243,0
142,0
74,0
79,0
86,0
211,0
673,0
1895,0
2101,0
1614,0
1687,0
2014,0
2634,0
2327,0
2173,0
2188,0
2544,0
2817,0
1929,0
1438,0
1031,0
903,0
633,0
476,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
270,284
164,151
103,110
103,84
99,116
241,260
728,797
1867,1895
2129,2038
1775,1706
1601,1667
2114,1939
2634,2374
2317,2285
2126,1944
2296,2137
2525,2439
2902,2978
2001,2085
1629,1571
1207,1282
937,1151
674,779
477,549
247,395
189,254
98,210
114,158
116,154
248,235
719,722
2009,1770
2188,2074
1926,1671
1844,1821
2075,2225
2679,2340
2589,2299
2321,2183
2583,2180
2890,2608
3125,2572
2277,2051
1692,1668
1293,1265
1070,1062
797,904
603,683
389,544
226,432
206,300
181,238
138,149
247,148
657,246
1770,396
2087,646
2503,906
2324,1099
2305,1488
2847,1562
2749,1661
2466,1490
2408,1497
2609,1434
2688,1467
2015,1416
1496,1248
1252,1057
1122,906
926,790
739,684
504,477
350,378
352,300
243,193
135,109
140,106
252,160
410,214
746,376
1012,603
1102,856
1442,1021
1696,1411
1676,1562
1603,1669
1614,1511
1559,1543
1569,1680
1722,1326
1258,1218
1075,1031
1265,758
922,586
710,438
453,274
461,153
328,95
175,78
121,98
89,218
149,636
228,1520
360,1754
526,1446
791,1562
902,1779
1223,2217
1511,2048
1489,1985
1272,1879
1325,2237
1408,2335
1232,1799
1164,1323
932,1047
711,788
508,603
422,413
266,219
152,156
71,108
100,62
94,84
194,232
560,745
1372,1815
1708,2087
1496,1714
1528,1656
1965,1902
2439,2568
2177,2282
1994,1918
2076,2088
2256,2431
2475,2835
1864,1996
1425,1442
1115,1161
900,1033
668,611
425,443
252,257
191,132
100,133
104,81
89,109
215,233
710,729
2011,1763
2080,2018
1848,1636
1822,1533
2111,1868
2664,2312
2430,2188
2061,2045
2309,2050
2481,2367
2994,2742
1917,1839
1532,1423
1221,1148
929,915
707,670
515,462
276,271
173,191
112,117
113,76
85,86
195,235
747,762
1893,1932
2137,1917
1732,1695
1674,1726
2126,1926
2561,2651
2444,2478
2150,2065
2248,2306
2463,2592
2883,2845
1980,1937
1495,1485
1185,1238
1064,960
686,809
496,562
278,387
165,214
91,201
108,155
120,150
250,250
723,650
1991,1721
1980,1985
1816,1734
1738,1699
1959,2134
2659,2652
2387,2663
2155,2248
2504,2299
2709,2642
2922,2789
1944,2107
1386,1601
1127,1174
879,1133
755,1408
529,1072
317,551
244,384
212,285
184,211
121,160
248,134
632,291
1760,519
2020,711
1731,946
1720,1273
2167,1588
2737,1990
2716,1705
2372,1566
2379,1634
2604,1819
2910,1920
2147,1663
1460,1190
1197,1009
1045,1425
1352,919
1011,703
496,484
359,428
310,346
228,197
156,117
190,121
300,184
455,268
709,399
933,629
1070,904
1336,1066
1682,1436
1681,1829
1688,1504
1731,1449
1610,1606
1559,1750
1778,1355
1320,1228
1080,905
1004,721
939,551
707,446
531,254
423,118
346,74
232,71
133,76
114,212
180,675
232,1798
373,1964
539,1617
770,1692
882,2097
1232,2551
1395,2352
1283,2403
1262,2071
1289,2439
1481,2717
1269,1785
1151,1461
833,1066
777,874
506,611
426,419
231,222
124,143
93,93
80,82
94,101
209,245
662,719
1839,2003
2150,1926
1591,1634
1640,1683
2038,1868
2496,2545
2339,2364
2185,1955
2214,2229
2474,2410
2880,2839
1917,1991
1461,1577
1093,1166
968,925
619,693
459,429
225,266
151,180
117,114
101,80
78,94
198,227
713,733
2090,1843
1949,2092
1797,1587
1653,1537
1783,1960
2451,2500
2221,2362
1938,2007
2182,2114
2514,2519
2736,2861
1868,2161
1486,1345
1212,1036
970,1524
652,712
443,485
262,277
185,154
111,97
107,77
89,92
241,240
722,761
1896,1921
2170,1905
1679,1720
1600,1633
2111,1836
2587,2551
2370,2430
2099,2001
2246,2261
2540,2483
